HIP,common name,Vmag,Abs Mag,"Distance
(pc)","B–V
(mag)","Spectral
Type"
34603,QY Aurigae or Ross 986,11.65,12.63,6.3597,1.7,M5Ve
54298,,11.69,12.65,6.44,,
82809,Wolf 629,11.73,12.67,6.4952,1.7,M4
114622,,5.57,6.5,6.5257,1,K3Vvar
80459,,10.13,11.04,6.582,1.591,M2
53767,Ross 104,10.03,10.92,6.6243,1.525,M3
72659,37 Bootis,4.54,5.41,6.6997,0.72,G8V + K4V
106106,Ross 775,10.33,11.19,6.7435,1.62,M4
114176,,12.28,13.13,6.759,,
113296,Ross 671,8.68,9.49,6.8837,1.507,M2:
84709,,5.91,6.69,6.9711,1.082,K4V
103096,,8.55,9.31,7.0447,1.483,M2V
12114,,5.79,6.5,7.2088,0.918,K3V
51317,Ross 446,9.65,10.35,7.2312,1.507,M2
83945,,11.77,12.47,7.2548,1.696,M3
3765,Wolf 25,5.74,6.38,7.4605,0.89,K2V
7981,107 Piscium,5.24,5.87,7.4677,0.836,K1V
2021,b Hydri,2.82,3.45,7.475,0.618,G2IV
73182,,8.01,8.64,7.4833,1.519,K5V
12781,VX Arietis or Ross 556,10.55,11.16,7.5517,1.53,M3.5Ve
5336,m Cassiopei A,5.17,5.78,7.5529,0.704,G5Vp
65859,Ross 490,9.05,9.64,7.6266,1.493,M1V
HIP,common name,Vmag,Abs Mag,"Distance
(pc)","B–V
(mag)","Spectral
Type"
32349,Sirius,-1.44,1.45,2.64,0.009,A0m
30438,Canopus,-0.62,-5.53,95.88,0.164,F0Ib
69673,Arcturus,-0.05,-0.31,11.25,1.239,K2IIIp
71683,Rigil Kentaurus,-0.01,4.34,1.35,0.71,G2V
91262,Vega,0.03,0.58,7.76,-0.001,A0Vvar
24608,Capella,0.08,-0.48,12.94,0.795,G5IIIe+G
24436,Rigel,0.18,-6.69,236.97,-0.03,B8Ia:
37279,Procyon,0.4,2.68,3.5,0.432,F5IV-V
7588,Achernar,0.45,-2.77,44.09,-0.158,B3Vp
27989,Betelgeuse,0.45,-5.14,131.06,1.5,M2Ib
68702,Agena,0.61,-5.42,161.03,-0.231,B1III
97649,Altair,0.76,2.2,5.14,0.221,A7IV-V
60718,Acrux,0.77,-4.19,98.33,-0.243,B0.5IV
21421,Aldebaran,0.87,-0.63,19.96,1.538,K5III
65474,Spica,0.98,-3.55,80.39,-0.235,B1V
80763,Antares,1.06,-5.28,185.19,1.865,M1Ib+B2.
37826,Pollux,1.16,1.09,10.34,0.991,K0IIIvar
113368,Fomalhaut,1.17,1.74,7.69,0.145,A3V
62434,Becrux,1.25,-3.92,108.11,-0.238,B0.5III
102098,Deneb,1.25,-8.73,990.1,0.092,A2Ia
71681,a Cen B,1.35,5.7,1.35,0.9,K1V
49669,Regulus,1.36,-0.52,23.76,-0.087,B7V
33579,Adara,1.5,-4.1,132.1,-0.211,B2II
36850,Castor,1.58,0.59,15.81,0.034,A2Vm
61084,Gacrux,1.59,-0.56,26.96,1.6,M4III
HIP,common name,Vmag,Abs Mag,"Distance
(pc)","B–V
(mag)","Spectral
Type"
85927,Shaula,1.62,-5.05,215.52,-0.231,B1.5IV+B
25336,Bellatrix,1.64,-2.72,74.52,-0.224,B2III
25428,El Nath,1.65,-1.37,40.18,-0.13,B7III
45238,Miaplacidus,1.67,-0.99,34.08,0.07,A2IV
26311,Alnilam,1.69,-6.38,411.52,-0.184,B0Ia
109268,Al Nair,1.73,-0.73,31.09,-0.07,B7IV
26727,Alnitak,1.74,-5.26,250.63,-0.199,O9.5Ib
39953,Alsuhail,1.75,-5.31,257.73,-0.145,WC8+O9I
62956,Alioth,1.76,-0.21,24.81,-0.022,A0p
15863,Algenib,1.79,-4.5,181.49,0.481,F5Ib
90185,Kaus Australis,1.79,-1.44,44.35,-0.031,B9.5III
54061,Dubhe,1.81,-1.08,37.91,1.061,K0IIIa
34444,Wezen,1.83,-6.87,549.45,0.671,F8Ia
67301,Alkaid,1.85,-0.6,30.87,-0.099,B3V
41037,e Car,1.86,-4.58,193.8,1.196,K3III+B2
86228,q Sco,1.86,-2.75,83.4,0.406,F1II
28360,Menkalinan,1.9,-0.1,25.18,0.077,A2V
82273,a TrA,1.91,-3.62,127.39,1.447,K2IIb-II
31681,Alhena,1.93,-0.6,32.13,0.001,A0IV
42913,Koo She,1.93,-0.01,24.45,0.043,A1V
100751,a Pav,1.94,-1.81,56.18,-0.118,B2IV
11767,Polaris,1.97,-3.64,132.28,0.636,F7:Ib-II
30324,Mirzam,1.98,-3.95,153.14,-0.24,B1II/III
46390,Alphard,1.99,-1.69,54.35,1.44,K3III
9884,Hamal,2.01,0.48,20.21,1.151,K2III
50583,Algieba,2.01,-0.92,38.52,1.128,K0III
