pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
11 Com,b,11 Com b,Radial Velocity,0,1,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,0.231,0.005,-0.005,0,,,,,19.4,1.5,-1.5,0,Msini,,,,,,,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,1.92,-1.92,0,93.37,1.92,-1.92,0,4.74,,0,V (Johnson),4.372,,0,4742,100,-100,0,2.7,0.3,-0.3,0,19,2,-2,0,2014-05-14,Xinglong Station
11 UMi,b,11 UMi b,Radial Velocity,0,1,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0,0.08,0.03,-0.03,0,,,,0,14.74,2.5,-2.5,0,Msini,,,,0,,,,0,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,1.97,-1.97,0,125.72,1.97,-1.97,0,5.016,0.009,0,V (Johnson),4.5,,0,4213,46,-46,0,2.78,0.69,-0.69,0,29.79,2.84,-2.84,0,2018-09-06,Thueringer Landessternwarte Tautenburg
14 And,b,14 And b,Radial Velocity,0,1,185.84,0.23,-0.23,0,0.83,,,0,0,,,0,,,,,4.8,,,0,Msini,,,,,,,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,0.71,-0.71,0,75.59,0.71,-0.71,0,5.227,0.009,0,V (Johnson),4.872,,0,4813,20,-20,0,2.2,0.1,-0.2,0,11,1,-1,0,2014-05-14,Okayama Astrophysical Observatory
14 Her,b,14 Her b,Radial Velocity,0,1,1773.40002,2.5,-2.5,0,2.93,0.08,-0.08,0,0.37,0,0,0,,,,0,4.66,0.15,-0.15,0,Msini,,,,0,,,,0,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,0.01,-0.01,0,17.94,0.01,-0.01,0,6.61,0.02,0,V (Johnson),6.379,,0,5338,25,-25,0,0.9,0.04,-0.04,0,0.93,0.01,-0.01,0,2018-09-06,W. M. Keck Observatory
16 Cyg B,b,16 Cyg B b,Radial Velocity,0,1,798.5,1,-1,0,1.66,0.03,-0.03,0,0.68,0.02,-0.02,0,,,,0,1.78,0.08,-0.08,0,Msini,,,,0,,,,0,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,0.01,-0.01,0,21.15,0.01,-0.01,0,6.25,,0,V (Johnson),6.057,,0,5750,8,-8,0,1.08,0.04,-0.04,0,1.13,0.01,-0.01,0,2018-09-06,Multiple Observatories
18 Del,b,18 Del b,Radial Velocity,0,1,993.3,3.2,-3.2,0,2.6,,,0,0.08,0.01,-0.01,0,,,,,10.3,,,0,Msini,,,,,,,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,0.62,-0.62,0,76.38,0.62,-0.62,0,5.506,0.009,0,V (Johnson),5.244,,0,4979,18,-18,0,2.3,,,0,8.5,,,0,2014-05-14,Okayama Astrophysical Observatory
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,0,1,,,,,330,,,0,,,,,,,,,8,1,-1,0,Mass,,,,,,,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,14,-14,0,139.67,1.32,-1.32,0,,,,,12.057,,0,4060,300,-200,0,0.85,0.2,-0.1,0,,,,,2015-04-01,Gemini Observatory
24 Boo,b,24 Boo b,Radial Velocity,0,1,30.3506,0.0078,-0.0077,0,0.19,0.012,-0.009,0,0.042,0.048,-0.029,0,,,,0,0.91,0.13,-0.1,0,Msini,,,,0,,,,0,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,0.64,-0.64,0,96.25,0.64,-0.64,0,5.58,,0,V (Johnson),5.305,,0,4893,15,-15,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,2018-04-26,Okayama Astrophysical Observatory
24 Sex,b,24 Sex b,Radial Velocity,0,2,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,,,,,1.99,0.26,-0.38,0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,72.21,0.68,-0.68,0,6.441,0.01,0,V (Johnson),6.198,,0,5098,44,-44,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,2014-05-14,Lick Observatory
24 Sex,c,24 Sex c,Radial Velocity,0,2,883,32.4,-13.8,0,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,,,,,0.86,0.35,-0.22,0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,72.21,0.68,-0.68,0,6.441,0.01,0,V (Johnson),6.198,,0,5098,44,-44,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,2014-05-14,Lick Observatory
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,0,1,,,,,52,6,-6,0,,,,,,,,,24.5,2.5,-2.5,0,Mass,,,,,,,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,4,-4,0,33.86,0.09,-0.09,0,14.24,0.07,0,V (Johnson),12.903,,0,3530,50,-50,0,0.4,0.05,-0.05,0,,,,,2014-05-14,W. M. Keck Observatory
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,0,1,,,,,156,10,-10,0,,,,,,,,,13.9,1.1,-1.1,0,Mass,1.44,0.03,-0.03,0,,,,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,2.6,-2.6,0,40.09,0.19,-0.19,0,,,,,15.012,,0,3064,76,-76,0,0.11,0.01,-0.01,0,0.28,0.01,-0.01,0,2015-05-14,Cerro Tololo Inter-American Observatory
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,0,1,,,,,15,,,0,,,,,,,,,7.5,2.5,-2.5,0,Mass,,,,,,,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140,,,0,120.42,5.48,-5.48,0,,,,,18.967,,0,,,,,0.02,,,0,,,,,2014-05-14,Hubble Space Telescope
2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,0,1,,,,,46,5,-5,0,,,,,,,,,4,1,-1,0,Mass,,,,,,,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,64.42,0.65,-0.65,0,64.42,0.65,-0.65,0,20.15,0.19,0,V (Johnson),17.408,,0,,,,,0.02,,,0,,,,,2014-05-14,Paranal Observatory
2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,0,1,416,2,-2,0,0.92,0.02,-0.02,0,,,,,,,,,1.9,0.1,-0.1,0,Mass,,,,,,,,,0,1,0,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,400.77,6.48,-6.48,0,400.77,6.48,-6.48,0,12.264,,0,Kepler-band,12.138,,0,,,,,0.48,0.03,-0.03,0,,,,,2015-06-04,Kepler
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,0,1,7336.5,1934.5,-584,0,,,,,0.26,0.06,-0.06,0,46.2,2.5,-8.7,0,20.95,83.79,-20.95,0,Mass,0.92,0.39,-0.36,0,,,,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25,10,-10,0,33.12,0.48,-0.48,0,,,,,17.396,,0,2300,80,-80,0,0.08,0.06,-0.06,0,0.12,0.05,-0.04,0,2014-05-14,W. M. Keck Observatory
2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,0,1,,,,,230,20,-20,0,,,,,,,,,12.5,1.5,-1.5,0,Mass,,,,,,,,,0,0,0,1,22h36m24.53s,339.102203,+47d51m42.6s,47.86182,74,10,-10,0,69.71,0.16,-0.16,0,12.51,0.03,0,V (Johnson),11.948,,0,4045,35,-35,0,0.6,0.05,-0.05,0,,,,,2016-11-10,W. M. Keck Observatory
30 Ari B,b,30 Ari B b,Radial Velocity,0,1,335.10001,2.5,-2.5,0,0.99,0.02,-0.02,0,0.29,0.09,-0.09,0,,,,0,13.82,1.8,-1.8,0,Msini,,,,0,,,,0,0,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,0.1,-0.1,0,44.71,0.1,-0.1,0,6.962,0.011,0,V (Johnson),6.961,,0,6331,61,-61,0,1.93,0.27,-0.27,0,1.41,0.05,-0.05,0,2018-09-06,Thueringer Landessternwarte Tautenburg
4 UMa,b,4 UMa b,Radial Velocity,0,1,269.3,1.96,-1.96,0,0.87,0.04,-0.04,0,0.432,0.024,-0.024,0,,,,,7.1,1.6,-1.6,0,Msini,,,,,,,,,0,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,1.18,-1.18,0,73.58,1.18,-1.18,0,4.61,,0,V (Johnson),4.16,,0,4415,70,-70,0,1.23,0.15,-0.15,0,18.11,1.47,-1.47,0,2014-05-14,Thueringer Landessternwarte Tautenburg
42 Dra,b,42 Dra b,Radial Velocity,0,1,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0,0.38,0.06,-0.06,0,,,,,3.88,0.85,-0.85,0,Msini,,,,,,,,,0,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,1.32,-1.32,0,90.86,1.32,-1.32,0,4.82,,0,V (Johnson),4.364,,0,4200,70,-70,0,0.98,0.05,-0.05,0,22.03,1,-1,0,2014-05-14,Thueringer Landessternwarte Tautenburg
47 UMa,b,47 UMa b,Radial Velocity,0,3,1078,2,-2,0,2.1,0.02,-0.02,0,0.032,0.014,-0.014,0,,,,,2.53,0.07,-0.06,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,13.8,0.03,-0.03,0,5.05,,0,V (Johnson),4.831,,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,,,0,2014-05-14,Lick Observatory
47 UMa,c,47 UMa c,Radial Velocity,0,3,2391,100,-87,0,3.6,0.1,-0.1,0,0.098,0.047,-0.096,0,,,,,0.54,0.066,-0.073,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,13.8,0.03,-0.03,0,5.05,,0,V (Johnson),4.831,,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,,,0,2014-05-14,Lick Observatory
47 UMa,d,47 UMa d,Radial Velocity,0,3,14002,4018,-5095,0,11.6,2.1,-2.9,0,0.16,0.09,-0.16,0,,,,,1.64,0.29,-0.48,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,13.8,0.03,-0.03,0,5.05,,0,V (Johnson),4.831,,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,,,0,2014-05-14,Lick Observatory
51 Eri,b,51 Eri b,Imaging,0,1,11688,6209.25,-3287.25,0,12,4,-2,0,0.45,0.1,-0.15,0,133,14,-7,0,,,,0,,,,,0,,,,0,0,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.4,0.3,-0.3,0,29.78,0.12,-0.12,0,5.23,,0,V (Johnson),5.122,,0,,,,,1.75,0.05,-0.05,0,,,,,2019-07-11,Gemini Observatory
51 Peg,b,51 Peg b,Radial Velocity,0,1,4.230785,3.6E-05,-3.6E-05,0,0.0527,0.003,-0.003,0,0.013,0.012,-0.012,0,,,,,0.472,0.039,-0.039,0,Msini,,,,,,,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,0.03,-0.03,0,15.47,0.03,-0.03,0,5.5,,0,V (Johnson),5.256,,0,5793,70,-70,0,1.12,0.06,-0.06,0,1.2,,,0,2014-05-14,Haute-Provence Observatory
55 Cnc,b,55 Cnc b,Radial Velocity,0,5,14.65152,0.00015,-0.00015,0,0.115227,1E-06,-1E-06,0,0.0034,0.0032,-0.0032,0,90,,,0,0.8306,0.0033,-0.0033,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2014-10-29,Lick Observatory
55 Cnc,c,55 Cnc c,Radial Velocity,0,5,44.4175,0.0073,-0.0073,0,0.241376,2.6E-05,-2.6E-05,0,0.02,0.031,-0.031,0,90,,,0,0.1714,0.0055,-0.0055,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2014-10-29,McDonald Observatory
55 Cnc,d,55 Cnc d,Radial Velocity,0,5,4825,39,-39,0,5.503,0.03,-0.03,0,0.019,0.013,-0.013,0,90,,,0,3.878,0.068,-0.068,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2014-10-29,Lick Observatory
55 Cnc,e,55 Cnc e,Radial Velocity,0,5,0.736539,7E-06,-7E-06,0,0.01544,9E-05,-9E-05,0,,,,0,83.3,0.9,-0.8,0,0.02542,0.00098,-0.00098,0,Mass,0.17,0.007,-0.007,0,6.4,0.8,-0.7,0,0,0,0,1,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2019-01-31,McDonald Observatory
55 Cnc,f,55 Cnc f,Radial Velocity,0,5,262,0.51,-0.51,0,0.788,0.001,-0.001,0,0.305,0.075,-0.075,0,90,,,0,0.141,0.012,-0.012,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2014-10-29,Multiple Observatories
6 Lyn,b,6 Lyn b,Radial Velocity,0,1,934.3,8.6,-8.6,0,2.11,0.11,-0.11,0,0.073,0.036,-0.036,0,,,,0,2.01,0.077,-0.077,0,Msini,,,,,,,,0,0,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,54.74,0.27,-0.27,0,54.74,0.27,-0.27,0,5.86,,0,V (Johnson),5.588,,0,4938,,,0,1.44,,,0,5.2,,,0,2018-12-06,Okayama Astrophysical Observatory
61 Vir,b,61 Vir b,Radial Velocity,0,3,4.215,0.0006,-0.0006,0,0.050201,5E-06,-5E-06,0,0.12,0.11,-0.11,0,,,,,0.016,0.002,-0.002,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,8.51,0.02,-0.02,0,4.74,,0,V (Johnson),4.477,,0,5577,33,-33,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,2014-05-14,Multiple Observatories
61 Vir,c,61 Vir c,Radial Velocity,0,3,38.021,0.034,-0.034,0,0.2175,1E-04,-1E-04,0,0.14,0.06,-0.06,0,,,,,0.057,0.003,-0.003,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,8.51,0.02,-0.02,0,4.74,,0,V (Johnson),4.477,,0,5577,33,-33,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,2014-05-14,Multiple Observatories
61 Vir,d,61 Vir d,Radial Velocity,0,3,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,0.35,0.09,-0.09,0,,,,,0.072,0.008,-0.008,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,8.51,0.02,-0.02,0,4.74,,0,V (Johnson),4.477,,0,5577,33,-33,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,2014-05-14,Multiple Observatories
7 CMa,b,7 CMa b,Radial Velocity,0,2,735.1,14.8,-1,0,1.758,0.024,-0.001,0,0.06,0.03,-0.03,0,90,,,0,1.85,0.06,-0.06,0,Msin(i)/sin(i),,,,0,,,,0,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,0.16,-0.16,0,19.82,0.16,-0.16,0,3.92,,0,V (Johnson),3.578,,0,4826,45,-55,0,1.34,0.11,-0.12,0,4.87,0.17,-0.14,0,2019-10-24,Anglo-Australian Telescope
7 CMa,c,7 CMa c,Radial Velocity,0,2,996,1.5,-52.4,0,2.153,0.003,-0.08,0,0.08,0.05,-0.04,0,90,,,0,0.87,0.06,-0.06,0,Msin(i)/sin(i),,,,0,,,,0,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,0.16,-0.16,0,19.82,0.16,-0.16,0,3.92,,0,V (Johnson),3.578,,0,4826,45,-55,0,1.34,0.11,-0.12,0,4.87,0.17,-0.14,0,2019-10-24,Multiple Observatories
70 Vir,b,70 Vir b,Radial Velocity,0,1,116.688,0.0054,-0.0054,0,0.481,0.022,-0.022,0,0.3988,0.0019,-0.0019,0,,,,0,7.416,0.057,-0.057,0,Msini,,,,,,,,0,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,0.06,-0.06,0,17.91,0.06,-0.06,0,4.97,,0,V (Johnson),4.709,,0,5495,,,0,1.09,,,0,1.89,,,0,2018-12-06,Lick Observatory
75 Cet,b,75 Cet b,Radial Velocity,0,1,691.9,3.6,-3.6,0,2.1,,,0,0.117,0.048,-0.048,0,,,,,3,,,0,Msini,,,,,,,,,0,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,83.15,0.72,-0.72,0,83.15,0.72,-0.72,0,5.35,,0,V (Johnson),5.055,,0,4846,18,-18,0,2.49,0.02,-0.27,0,10.5,1,-1,0,2015-09-03,Okayama Astrophysical Observatory
8 UMi,b,8 UMi b,Radial Velocity,0,1,93.4,4.5,-4.5,0,0.49,0.02,-0.02,0,0.06,0.09,-0.09,0,,,,0,1.31,0.16,-0.16,0,Msini,,,,0,,,,0,0,0,0,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,163.32,0.65,-0.65,0,163.32,0.65,-0.65,0,6.83,,0,V (Johnson),6.559,,0,4847,7,-7,0,1.44,0.19,-0.19,0,10.3,0.57,-0.57,0,2018-09-06,Bohyunsan Optical Astronomical Observatory
81 Cet,b,81 Cet b,Radial Velocity,0,1,952.7,8.8,-8.8,0,2.5,,,0,0.206,0.029,-0.029,0,,,,,5.3,,,0,Msini,,,,,,,,,0,0,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,101.53,1.22,-1.22,0,101.53,1.22,-1.22,0,5.65,,0,V (Johnson),5.349,,0,4785,25,-25,0,2.4,0.1,-0.4,0,11,2,-1,0,2014-05-14,Okayama Astrophysical Observatory
91 Aqr,b,91 Aqr b,Radial Velocity,0,1,181.4,0.1,-0.1,0,0.7,,,0,0.027,0.026,-0.026,0,,,,,3.2,,,0,Msini,,,,,,,,,0,0,0,0,23h15m53.50s,348.9729,-09d05m15.9s,-9.087737,44.08,0.51,-0.51,0,44.08,0.51,-0.51,0,4.25,,0,V (Johnson),3.863,,0,4665,18,-18,0,1.4,0.1,-0.1,0,11,0.1,-0.1,0,2014-05-14,Lick Observatory
AB Pic,b,AB Pic b,Imaging,0,1,,,,,260,,,0,,,,,,,,,13.5,0.5,-0.5,0,Mass,,,,,,,,,0,0,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.05431,50.12,0.07,-0.07,0,50.12,0.07,-0.07,0,9.128,0.019,0,V (Johnson),8.838,,0,,,,,,,,,,,,,2014-05-14,Paranal Observatory
BD+03 2562,b,BD+03 2562 b,Radial Velocity,0,1,481.9,2.7,-2.8,0,1.3,0.1,-0.1,0,0.2,0.12,-0.08,0,,,,,6.4,1.3,-1.3,0,Msini,,,,,,,,,0,0,0,0,11h50m15.55s,177.564804,+02d45m36.5s,2.760142,2618,564,-564,0,1106.93,66.8,-66.8,0,9.58,0.01,0,V (Johnson),8.998,,0,4095,20,-20,0,1.14,0.25,-0.25,0,32.35,8.82,-8.82,0,2017-06-15,Multiple Observatories
BD+14 4559,b,BD+14 4559 b,Radial Velocity,0,1,268.94,0.99,-0.99,0,0.78,0.05,-0.05,0,0.29,0.03,-0.03,0,,,,0,1.04,0.47,-0.47,0,Msini,,,,0,,,,0,0,0,0,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,49.42,0.08,-0.08,0,49.42,0.08,-0.08,0,9.63,0.012,0,V (Johnson),9.351,,0,4864,101,-101,0,0.49,0.33,-0.33,0,0.86,0.04,-0.04,0,2018-09-06,McDonald Observatory
BD+15 2375,b,BD+15 2375 b,Radial Velocity,0,1,153.22,0.44,-0.44,0,0.576,0.027,-0.027,0,0.001,0.25,-0.001,0,,,,,1.061,0.27,-0.27,0,Msini,,,,,,,,,0,0,0,0,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774,165,-165,0,785.38,45.98,-45.98,0,10.31,0.023,0,V (Johnson),9.992,,0,4649,30,-30,0,1.08,0.14,-0.14,0,8.95,1.45,-1.45,0,2016-02-04,Roque de los Muchachos Observatory
BD+15 2940,b,BD+15 2940 b,Radial Velocity,0,1,137.48,0.34,-0.34,0,0.539,,,0,0.26,0.1,-0.1,0,,,,,1.11,,,0,Msini,,,,,,,,,0,0,0,0,16h00m22.94s,240.095566,+15d32m48.9s,15.54693,431.61,6.55,-6.55,0,431.61,6.55,-6.55,0,9.046,0.021,0,V (Johnson),8.718,,0,4796,117,-117,0,1.1,0.2,-0.2,0,14.7,2.8,-2.8,0,2014-05-14,McDonald Observatory
BD+20 2457,b,BD+20 2457 b,Radial Velocity,0,2,379.63,2,-2,0,1.05,0.07,-0.07,0,0.15,0.03,-0.03,0,,,,0,55.59,78.55,-78.55,0,Msini,,,,0,,,,0,0,0,0,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,1670.85,222.63,-222.63,0,1670.85,222.63,-222.63,0,9.75,,0,V (Johnson),9.227,,0,4259,64,-64,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,2018-09-06,McDonald Observatory
BD+20 2457,c,BD+20 2457 c,Radial Velocity,0,2,621.99,10.2,-10.2,0,2.01,,,0,0.18,0.06,-0.06,0,,,,,12.47,,,0,Msini,,,,,,,,,0,0,0,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,1670.85,222.63,-222.63,0,1670.85,222.63,-222.63,0,9.75,,0,V (Johnson),9.227,,0,4259,64,-64,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,2014-05-14,McDonald Observatory
BD+20 274,b,BD+20 274 b,Radial Velocity,0,1,578.2,5.4,-5.4,0,1.3,,,0,0.21,0.06,-0.06,0,,,,,4.2,,,0,Msini,,,,,,,,,0,0,0,0,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,1383.85,86.64,-86.64,0,1383.85,86.64,-86.64,0,9.36,,0,V (Johnson),8.916,,0,4296,10,-10,0,0.8,0.2,-0.2,0,17.3,0.9,-0.9,0,2015-09-18,McDonald Observatory
BD+20 594,b,BD+20 594 b,Transit,0,1,41.6855,0.003,-0.003,0,,,,0,0,,,0,89.55,0.16,-0.16,0,0.07,0.03,-0.03,0,Mass,0.23,0.01,-0.01,0,,,,0,0,0,1,1,03h34m36.23s,53.650967,+20d35m57.2s,20.599232,180.39,1.25,-1.25,0,180.39,1.25,-1.25,0,11.038,0.047,0,V (Johnson),10.864,,0,5766,99,-99,0,1.67,0.4,-0.4,0,1.08,0.06,-0.06,0,2018-04-26,K2
BD+48 738,b,BD+48 738 b,Radial Velocity,0,1,392.6,5.5,-5.5,0,1,,,0,0.2,0.1,-0.1,0,,,,,0.91,,,0,Msini,,,,,,,,,0,0,0,0,02h42m50.45s,40.710224,+49d35m13.1s,49.58696,892.17,44.78,-44.78,0,892.17,44.78,-44.78,0,9.14,,0,V (Johnson),8.656,,0,4414,15,-15,0,0.74,0.39,-0.39,0,11,1,-1,0,2015-08-13,McDonald Observatory
BD+48 740,b,BD+48 740 b,Radial Velocity,0,1,733,5,-8,0,1.7,0.1,-0.1,0,0.76,0.05,-0.09,0,,,,0,1.7,0.7,-0.7,0,Msini,,,,0,,,,0,0,0,0,0,02h42m58.22s,40.742569,+48d55m48.2s,48.930061,678.94,22.15,-22.15,0,678.94,22.15,-22.15,0,8.699,0.015,0,V (Johnson),8.264,,0,4534,8,-8,0,1.09,0.16,-0.16,0,10.33,1.81,-1.81,0,2018-02-01,Multiple Observatories
BD+49 828,b,BD+49 828 b,Radial Velocity,0,1,2590,300,-180,0,4.2,0.32,-0.2,0,0.35,0.24,-0.1,0,,,,,1.6,0.4,-0.2,0,Msini,,,,,,,,,0,0,0,0,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,447.59,7.79,-7.79,0,447.59,7.79,-7.79,0,9.38,0.02,0,V (Johnson),9.029,,0,4943,30,-30,0,1.52,0.22,-0.22,0,7.6,1.3,-1.3,0,2015-02-05,McDonald Observatory
BD-06 1339,b,BD-06 1339 b,Radial Velocity,0,2,3.8728,0.0004,-0.0004,0,0.0428,0.0007,-0.0007,0,0,,,0,,,,,0.027,0.004,-0.004,0,Msini,,,,,,,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,0.02,-0.02,0,20.28,0.02,-0.02,0,9.7,0.009,0,V (Johnson),9.107,,0,4324,100,-100,0,0.7,,,0,,,,,2014-05-14,La Silla Observatory
BD-06 1339,c,BD-06 1339 c,Radial Velocity,0,2,125.94,0.44,-0.44,0,0.435,0.007,-0.007,0,0.31,0.11,-0.11,0,,,,,0.17,0.03,-0.03,0,Msini,,,,,,,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,0.02,-0.02,0,20.28,0.02,-0.02,0,9.7,0.009,0,V (Johnson),9.107,,0,4324,100,-100,0,0.7,,,0,,,,,2014-05-14,La Silla Observatory
